uuid,name,surname,password,birthday,genre,phone,email,dpi,street,city,state,country,postal_code,bank_uuid,position,salary,since
c7bbb62b-fad6-4a89-a689-f0edf76fb8fa,Alexander,Romero,password123,1946-01-23,Male,001-968-456-6596,jessicajones@example.com,7786362738486,50861 Miller Trafficway,Evelynhaven,Michigan,Moldova,33066,6f062357-841d-4e3d-96f3-9dcba56531b7,Special effects artist,3857.01,2016-08-06
fd6b0b95-ae5a-48b3-bdbc-7ec4313a44a2,Alicia,Barnett,password123,1967-01-30,Male,543-925-0167x416,martha94@example.net,96138997761,7194 Jessica Expressway,Lake Jerrychester,Hawaii,San Marino,55132,d7704a55-ccc1-4a05-a5e1-64d6703b63e5,International aid/development worker,5677.84,2020-09-29
aed1435a-c31b-4954-a6d8-8ab2cbdce604,Christine,Freeman,password123,1984-12-08,Male,276.353.6849x9518,gibsonrachel@example.net,954280507652,73587 Warren Coves,Port Jasonville,Pennsylvania,Suriname,64834,8c144f07-b002-4a17-aaf8-19feb4e889ad,"Research officer, political party",2264.07,2024-02-27
0890e59d-04e1-4b6c-b43d-9efd98677967,Lisa,Greene,password123,1933-10-20,Male,(484)748-1596,kaylabrewer@example.com,7422254608533,0144 Heidi Passage Suite 305,Andersenville,Missouri,Argentina,55275,80fb6c11-862f-41fb-b12e-a4d9c3b17506,"Scientist, physiological",8427.29,2018-04-10
bc2a3ba6-1b19-40a4-8705-11c03329787d,Connor,Alvarado,password123,1961-02-27,Male,612-956-5052x12834,leonard78@example.net,8883871087578,687 Billy Haven Apt. 790,Meganshire,Florida,Switzerland,95077,7db308e2-8cc1-471c-9584-9629803062d9,"Pharmacist, community",9228.8,2019-10-08
9747c596-0dd5-48c2-808f-f6edf3d3b79f,Catherine,Bonilla,password123,1951-11-12,Female,852-511-2102x7593,joseph10@example.com,1113873940098,44045 Brian Path Suite 068,Williamsside,Pennsylvania,Kenya,76063,6c7de3de-6014-42f5-8327-fb5210c2dbfe,Furniture conservator/restorer,8186.29,2015-11-22
6e815c8b-aa09-4912-b726-2f3bb55658a3,Kari,Petersen,password123,1987-01-31,Male,864.988.6072x178,rickymontes@example.org,8986196242369,961 Marsh Loop,New Regina,Ohio,Germany,31837,b1089816-a051-45b3-b494-df6ab4507475,Advertising copywriter,6928.05,2015-03-31
02f04571-0054-4a1d-af3f-7702a7682795,Paula,Cox,password123,1983-08-26,Female,3308142899,craig48@example.net,733363321846,37952 Lawson Overpass,Port Sydneyview,Minnesota,Russian Federation,84616,edefc661-a046-4de1-9a2a-5a3362b0dacd,Accommodation manager,7907.04,2021-04-30
bd82a4ac-cdb7-44fa-84a7-e93d06569c4b,Robert,Valentine,password123,1981-04-28,Female,(884)832-0010,staylor@example.org,8523645319927,465 Jones Junction Apt. 305,Andrewhaven,Nebraska,Guinea-Bissau,35151,8e7d0511-aac9-49f1-86ba-ab06969541d6,"Librarian, academic",5381.21,2015-10-06
519d1ccc-a11d-4685-8bd6-d06e7d54c1d5,Nancy,Gray,password123,1987-01-18,Female,733-502-6358x624,dyermia@example.org,5261839354468,29707 Lisa Orchard Apt. 254,Williamston,New Mexico,Timor-Leste,40174,4dcbc30f-6af8-4180-b3ce-0b5466f58f02,Speech and language therapist,8048.11,2020-10-23
0b94060a-5ff3-475c-903e-e70582d881b2,Julie,Brown,password123,1957-10-03,Male,215-743-1293x049,gsmith@example.org,7862736876337,4132 Avila Burgs Apt. 794,South Paulmouth,Washington,Georgia,04150,3baa87d0-c52b-48f6-9957-d0a990dc6f70,"Radiographer, diagnostic",8329.85,2023-03-18
603fd8ab-c352-4ed9-a6fb-1ff7f5c242c5,Rachel,Robertson,password123,1998-03-17,Female,963.957.0526x34852,ptaylor@example.com,7835723747062,5440 Harvey Lodge Apt. 835,Port Adamchester,Colorado,Uzbekistan,07394,02724760-be34-4386-b189-7936855a01de,"Lecturer, further education",5022.9,2023-06-25
24f7968e-e9ea-4afd-9e84-03db230504fe,Robert,Valdez,password123,1936-08-11,Male,(918)808-2969x57834,browncharlene@example.org,6050215356091,3932 Erika Trafficway Apt. 456,East Timothy,Mississippi,Argentina,58092,f1b05dd5-a883-41d7-9679-a7e3cf0f87d1,Music tutor,2551.41,2023-10-26
d257ea9a-2ca1-4585-bf5c-d7ac8efe7e17,Julie,Martin,password123,1938-04-06,Female,931.969.0714x254,nicholas53@example.net,3265864960500,4725 Kelly Ridge Suite 338,Port Johnathanside,California,Russian Federation,79451,8e5bcc3a-ff53-4759-9661-ee501110600a,Research scientist (maths),8337.02,2017-08-02
d4a720bd-eb99-4af5-8b44-44652673007d,Beth,Serrano,password123,1965-12-03,Female,001-402-391-1662x47966,andrewsanders@example.net,8652365590274,3081 Simmons Divide,Mariatown,Texas,Saint Helena,36446,7db308e2-8cc1-471c-9584-9629803062d9,"Surveyor, planning and development",4802.55,2017-10-02
f39c784e-4337-4ada-9445-2623b253e4a7,Randy,Vargas,password123,1996-01-16,Female,001-551-248-4926,ohatfield@example.org,637393962873,45472 Melissa Summit,Amymouth,Alabama,Saint Kitts and Nevis,08290,3b43f907-cef9-4575-a72d-9ba32acfc395,Site engineer,4168.12,2019-02-28
1e0f2290-82de-4d2a-93df-2009713d2388,Ashley,Lee,password123,1993-12-30,Female,+1-990-790-4699x80045,cramsey@example.org,5602208275002,0851 Kenneth Turnpike,South Matthew,Delaware,Heard Island and McDonald Islands,37506,02724760-be34-4386-b189-7936855a01de,Press sub,3726.56,2017-10-13
104ecb7a-1133-4e62-8af8-2347199868fb,Edward,Hammond,password123,1934-12-23,Female,(563)474-1487,anthonyjacob@example.org,6716358847041,966 James Harbors Suite 008,Emilyfort,Mississippi,Canada,84920,53604252-da97-4254-9ef2-fa9fc293c634,Financial adviser,9136.71,2017-06-03
944c81d3-6e55-4aed-814b-d67f72b7021b,Brian,Carpenter,password123,1997-02-16,Female,227-433-7612x68814,knightphillip@example.org,8647587296405,67368 Green Pines Apt. 723,Davidsonshire,Virginia,Mexico,80174,21d1fef6-9ee9-4d4c-969d-7d19538f693b,Lobbyist,7726.02,2023-11-09
41a7117c-2bcc-4aa5-b7dd-7bcc7ada128b,Nicole,Johnson,password123,1942-02-19,Female,8923729658,aromero@example.net,4664290195550,5214 Nelson Islands,Heathmouth,Oklahoma,French Guiana,50154,1d8d64e5-fe21-421d-928b-8d668e792bd9,"Producer, television/film/video",3043.45,2017-09-15
9aed560e-cc42-4c89-acc2-946a9b989cd3,Austin,Lopez,password123,1985-05-02,Female,001-439-205-4216x634,danielgonzalez@example.net,4589060715114,701 Bowman Mountains Suite 758,Jameschester,Alabama,Australia,69824,a8bff895-1cb2-47ae-b610-e7579bd6507b,"Loss adjuster, chartered",7940.9,2016-11-18
85802323-1721-4cdd-93a0-de24b020eeaa,Kenneth,Cox,password123,1938-03-12,Male,(733)515-0614,josephnorton@example.org,3722693689147,512 Brett Keys Suite 107,West Ambermouth,Oregon,Sierra Leone,54289,d87ba2ed-9c08-4678-adc6-fe28adc77d98,Plant breeder/geneticist,2369.89,2014-07-16
0659fb2c-80e1-483f-a717-eac5f8947f65,Sharon,Vaughn,password123,1978-12-02,Female,001-899-902-4449x985,aallen@example.org,7631609648063,306 Wagner Shoal,Ericville,Maine,El Salvador,06949,551fe6a9-4cab-45da-af24-05f40e533d29,Futures trader,8170.94,2023-06-18
